PURCHASE#,CLIENT#,PER#,PAYMENTMETHOD,DELIVERYMETHOD,TOTALAMOUNT
2441,1565,1917,Cash,Mail,6.5
2442,1527,1918,Credit Card,Pick Up,6
2443,2161,1919,Credit Card,Mail,6.5
2444,2161,1919,Debit Card,Pick Up,6
2445,614,1920,Cash,Pick Up,6
2446,2478,1921,Credit Card,Mail,6.5
2447,2898,1922,Debit Card,Pick Up,6
2448,1292,1923,Cash,Mail,6.5
2449,1247,1924,Debit Card,Pick Up,6
2450,4461,1925,Cash,Pick Up,6
2451,2061,1926,Cash,Mail,6.5
2452,2061,1926,Credit Card,Pick Up,6
2453,2285,1927,Debit Card,Mail,6.5
2454,2285,1927,Debit Card,Pick Up,6
2455,1288,1928,Debit Card,Pick Up,6
2456,1543,1929,Credit Card,Mail,6.5
2457,3357,1930,Credit Card,Mail,6.5
2458,3357,1930,Credit Card,Mail,6.5
2459,1278,1931,Cash,Pick Up,6
2460,1493,1932,Cash,Mail,6.5
2461,2449,1933,Cash,Pick Up,6
2462,1004,1934,Cash,Mail,6.5
2463,120,1935,Credit Card,Pick Up,6
2464,570,1936,Credit Card,Mail,6.5
2465,2091,1937,Cash,Mail,6.5
2466,2091,1937,Credit Card,Pick Up,6
2467,522,1938,Debit Card,Mail,6.5
2468,522,1938,Credit Card,Mail,6.5
2469,1196,1939,Cash,Mail,6.5
2470,2047,1940,Debit Card,Mail,6.5
2471,2062,1941,Cash,Mail,6.5
2472,2062,1941,Cash,Pick Up,6
2473,544,1942,Cash,Pick Up,6
2474,640,1943,Cash,Mail,6.5
2475,1061,1944,Cash,Pick Up,6
2476,1069,1945,Debit Card,Mail,6.5
2477,2164,1946,Cash,Mail,6.5
2478,1773,1947,Debit Card,Pick Up,6
2479,4191,1948,Debit Card,Mail,6.5
2480,4191,1948,Credit Card,Pick Up,6
2481,4868,1949,Debit Card,Mail,6.5
2482,4868,1949,Credit Card,Mail,6.5
2483,3596,1950,Credit Card,Pick Up,6
2484,3892,1951,Credit Card,Pick Up,6
2485,4146,1952,Credit Card,Pick Up,6
2486,4146,1952,Cash,Pick Up,6
2487,4521,1953,Cash,Mail,6.5
2488,3719,1954,Credit Card,Mail,6.5
2489,3338,1955,Debit Card,Mail,6.5
2490,3299,1956,Cash,Pick Up,6
2491,502,1957,Debit Card,Mail,6.5
2492,3886,1958,Debit Card,Mail,6.5
2493,3339,1959,Debit Card,Mail,6.5
2494,3339,1959,Credit Card,Mail,6.5
2495,2607,1960,Cash,Mail,6.5
2496,2607,1960,Debit Card,Pick Up,6
2497,1294,1961,Debit Card,Mail,6.5
2498,3040,1962,Debit Card,Pick Up,6
2499,3771,1963,Debit Card,Pick Up,6
2500,3771,1963,Cash,Pick Up,6
2501,3252,1964,Cash,Mail,6.5
2502,4902,1965,Cash,Mail,6.5
2503,3059,1966,Credit Card,Mail,6.5
2504,3952,1967,Cash,Mail,6.5
2505,4545,1968,Debit Card,Pick Up,6
2506,4687,1969,Debit Card,Pick Up,6
2507,2776,1970,Cash,Pick Up,6
2508,2776,1970,Credit Card,Mail,6.5
2509,3948,1971,Credit Card,Pick Up,6
2510,3948,1971,Debit Card,Pick Up,6
2511,2806,1972,Cash,Pick Up,6
2512,4702,1973,Debit Card,Pick Up,6
2513,4416,1974,Debit Card,Mail,6.5
2514,4416,1974,Credit Card,Mail,6.5
2515,1586,1975,Credit Card,Pick Up,6
2516,4062,1976,Debit Card,Mail,6.5
2517,4773,1977,Credit Card,Pick Up,6
2518,4760,1978,Debit Card,Mail,6.5
2519,3171,1979,Credit Card,Mail,6.5
2520,3279,1980,Credit Card,Pick Up,6
2521,4421,1981,Credit Card,Mail,6.5
2522,4421,1981,Debit Card,Mail,6.5
2523,430,1982,Credit Card,Mail,6.5
2524,430,1982,Credit Card,Pick Up,6
2525,420,1983,Debit Card,Pick Up,6
2526,2269,1984,Cash,Pick Up,6
2527,845,1985,Credit Card,Mail,6.5
2528,845,1985,Cash,Mail,6.5
2529,2141,1986,Debit Card,Mail,6.5
2530,410,1987,Cash,Pick Up,6
2531,1049,1988,Credit Card,Pick Up,6
2532,1376,1989,Debit Card,Pick Up,6
2533,157,1990,Cash,Mail,6.5
2534,2045,1991,Cash,Pick Up,6
2535,2425,1992,Credit Card,Pick Up,6
2536,2425,1992,Debit Card,Pick Up,6
2537,1011,1993,Cash,Mail,6.5
2538,1011,1993,Cash,Mail,6.5
2539,2855,1994,Credit Card,Pick Up,6
2540,1192,1995,Cash,Mail,6.5
2541,2454,1996,Debit Card,Pick Up,6
2542,2454,1996,Cash,Pick Up,6
2543,481,1997,Credit Card,Mail,6.5
2544,2366,1998,Credit Card,Pick Up,6
2545,902,1999,Cash,Pick Up,6
2546,1452,2000,Debit Card,Pick Up,6
2547,2376,2001,Cash,Mail,6.5
2548,228,2002,Debit Card,Pick Up,6
2549,2161,2003,Cash,Pick Up,6
2550,2161,2003,Credit Card,Pick Up,6
2551,599,2004,Cash,Pick Up,6
2552,599,2004,Credit Card,Mail,6.5
2553,1454,2005,Credit Card,Mail,6.5
2554,1381,2006,Debit Card,Mail,6.5
2555,3561,2007,Debit Card,Pick Up,6
2556,3561,2007,Credit Card,Mail,6.5
2557,855,2008,Cash,Mail,6.5
2558,588,2009,Credit Card,Mail,6.5
2559,1983,2010,Credit Card,Mail,6.5
2560,1008,2011,Credit Card,Mail,6.5
2561,1604,2012,Cash,Pick Up,6
2562,1313,2013,Debit Card,Mail,6.5
2563,899,2014,Debit Card,Pick Up,6
2564,899,2014,Debit Card,Pick Up,6
2565,3656,2015,Debit Card,Mail,6.5
2566,3656,2015,Debit Card,Pick Up,6
2567,867,2016,Debit Card,Mail,6.5
2568,3244,2017,Debit Card,Mail,6.5
2569,2888,2018,Debit Card,Mail,6.5
2570,2888,2018,Cash,Mail,6.5
2571,4910,2019,Debit Card,Mail,6.5
2572,2956,2020,Credit Card,Pick Up,6
2573,3510,2021,Debit Card,Mail,6.5
2574,3412,2022,Debit Card,Pick Up,6
2575,4523,2023,Cash,Mail,6.5
2576,4734,2024,Credit Card,Mail,6.5
2577,38,2025,Debit Card,Mail,6.5
2578,38,2025,Debit Card,Pick Up,6
2579,4828,2026,Cash,Pick Up,6
2580,4828,2026,Debit Card,Mail,6.5
2581,3392,2027,Credit Card,Mail,6.5
2582,3517,2028,Credit Card,Mail,6.5
2583,4335,2029,Cash,Mail,6.5
2584,4335,2029,Cash,Mail,6.5
2585,3866,2030,Debit Card,Pick Up,6
2586,3071,2031,Debit Card,Pick Up,6
2587,4566,2032,Cash,Mail,6.5
2588,4599,2033,Cash,Mail,6.5
2589,4907,2034,Cash,Pick Up,6
2590,2629,2035,Debit Card,Mail,6.5
2591,3230,2036,Debit Card,Mail,6.5
2592,3230,2036,Cash,Pick Up,6
1002,3418,786,Cash,Pick Up,6
1003,2824,787,Credit Card,Pick Up,6
1004,3034,788,Cash,Pick Up,6
1005,3513,789,Cash,Mail,6.5
1006,3256,790,Debit Card,Pick Up,6
1007,3090,791,Debit Card,Pick Up,6
1008,2921,792,Credit Card,Pick Up,6
1009,1872,793,Cash,Pick Up,6
1010,1872,793,Credit Card,Pick Up,6
1011,2297,794,Cash,Mail,6.5
1012,2297,794,Cash,Mail,6.5
1013,571,795,Credit Card,Mail,6.5
1014,1556,796,Credit Card,Mail,6.5
1015,427,797,Cash,Pick Up,6
1016,427,797,Debit Card,Pick Up,6
1017,2312,798,Credit Card,Pick Up,6
1018,1722,799,Cash,Mail,6.5
1019,2330,800,Debit Card,Pick Up,6
1020,3837,801,Credit Card,Mail,6.5
1021,878,802,Debit Card,Pick Up,6
1022,797,803,Credit Card,Pick Up,6
1023,1239,804,Debit Card,Pick Up,6
1024,1239,804,Cash,Pick Up,6
1025,1050,805,Cash,Pick Up,6
1026,1050,805,Credit Card,Pick Up,6
1027,2551,806,Credit Card,Mail,6.5
1028,401,807,Debit Card,Pick Up,6
1029,2517,808,Cash,Mail,6.5
1030,2517,808,Debit Card,Mail,6.5
1031,1528,809,Credit Card,Mail,6.5
1032,1427,810,Credit Card,Pick Up,6
1033,1258,811,Cash,Mail,6.5
1034,2011,812,Credit Card,Pick Up,6
1035,283,813,Debit Card,Mail,6.5
1036,2085,814,Credit Card,Pick Up,6
1037,2220,815,Cash,Mail,6.5
1038,2220,815,Debit Card,Pick Up,6
1039,4305,816,Debit Card,Pick Up,6
1040,4305,816,Cash,Mail,6.5
1041,3091,817,Cash,Mail,6.5
1042,3537,818,Debit Card,Mail,6.5
1043,2811,819,Cash,Mail,6.5
1044,2811,819,Credit Card,Mail,6.5
1045,1454,820,Credit Card,Pick Up,6
1046,2167,821,Debit Card,Pick Up,6
1047,536,822,Cash,Mail,6.5
1048,492,823,Cash,Pick Up,6
1049,2273,824,Cash,Pick Up,6
1050,2874,825,Credit Card,Pick Up,6
1051,4025,826,Credit Card,Mail,6.5
1052,4025,826,Cash,Mail,6.5
1053,3213,827,Credit Card,Pick Up,6
1054,3213,827,Cash,Mail,6.5
1055,4269,828,Cash,Mail,6.5
1056,967,829,Cash,Mail,6.5
1057,2666,830,Credit Card,Mail,6.5
1058,2666,830,Debit Card,Pick Up,6
1059,3162,831,Credit Card,Pick Up,6
1060,4963,832,Debit Card,Mail,6.5
1061,4732,833,Cash,Mail,6.5
1062,3098,834,Cash,Pick Up,6
1063,4296,835,Debit Card,Mail,6.5
1064,3513,836,Debit Card,Mail,6.5
1065,4468,837,Debit Card,Pick Up,6
1066,4468,837,Debit Card,Pick Up,6
1067,504,838,Cash,Mail,6.5
1068,504,838,Cash,Mail,6.5
1069,2575,839,Cash,Mail,6.5
1070,4357,840,Credit Card,Mail,6.5
1071,4079,841,Credit Card,Mail,6.5
1072,4079,841,Cash,Mail,6.5
1073,3716,842,Credit Card,Mail,6.5
1074,3564,843,Debit Card,Pick Up,6
1075,4597,844,Credit Card,Pick Up,6
1076,4294,845,Debit Card,Pick Up,6
1077,2818,846,Credit Card,Pick Up,6
1078,4317,847,Cash,Mail,6.5
1079,4095,848,Cash,Pick Up,6
1080,4095,848,Debit Card,Pick Up,6
1081,3053,849,Cash,Mail,6.5
1082,3053,849,Cash,Pick Up,6
1083,2852,850,Cash,Pick Up,6
1084,2797,851,Credit Card,Mail,6.5
1085,3638,852,Debit Card,Mail,6.5
1086,3638,852,Credit Card,Pick Up,6
1087,4881,853,Debit Card,Pick Up,6
1088,4539,854,Cash,Mail,6.5
1089,4709,855,Debit Card,Pick Up,6
1090,4326,856,Cash,Pick Up,6
1091,4751,857,Cash,Mail,6.5
1092,3966,858,Debit Card,Mail,6.5
1093,4753,859,Credit Card,Pick Up,6
1094,4753,859,Credit Card,Mail,6.5
1095,1759,860,Cash,Pick Up,6
1096,1759,860,Credit Card,Pick Up,6
1097,33,861,Debit Card,Mail,6.5
1098,1076,862,Debit Card,Pick Up,6
1099,855,863,Cash,Pick Up,6
1100,855,863,Credit Card,Pick Up,6
1101,2286,864,Credit Card,Pick Up,6
1102,3243,865,Debit Card,Mail,6.5
1103,1076,866,Debit Card,Mail,6.5
1104,1974,867,Debit Card,Pick Up,6
1105,1878,868,Debit Card,Mail,6.5
1106,311,869,Debit Card,Pick Up,6
1107,1086,870,Debit Card,Pick Up,6
1108,1086,870,Cash,Pick Up,6
1109,1221,871,Cash,Pick Up,6
1110,1221,871,Cash,Pick Up,6
1111,663,872,Credit Card,Mail,6.5
1112,1899,873,Cash,Pick Up,6
1113,2499,874,Cash,Pick Up,6
1114,2499,874,Debit Card,Mail,6.5
1115,1813,875,Credit Card,Pick Up,6
1116,2076,876,Credit Card,Mail,6.5
1117,1354,877,Cash,Mail,6.5
1118,230,878,Cash,Pick Up,6
1119,2236,879,Debit Card,Mail,6.5
1120,1046,880,Credit Card,Pick Up,6
1121,2278,881,Credit Card,Pick Up,6
1122,2278,881,Credit Card,Pick Up,6
1123,98,882,Cash,Pick Up,6
1124,98,882,Credit Card,Pick Up,6
1125,560,883,Credit Card,Pick Up,6
1126,738,884,Debit Card,Pick Up,6
1127,1700,885,Cash,Pick Up,6
1128,1700,885,Credit Card,Mail,6.5
1129,853,886,Credit Card,Mail,6.5
1130,108,887,Credit Card,Pick Up,6
1131,501,888,Cash,Pick Up,6
1132,760,889,Debit Card,Pick Up,6
1133,2407,890,Credit Card,Pick Up,6
1134,570,891,Debit Card,Mail,6.5
1135,4354,892,Credit Card,Mail,6.5
1136,4354,892,Credit Card,Pick Up,6
1137,4556,893,Cash,Pick Up,6
1138,4556,893,Credit Card,Pick Up,6
1139,2624,894,Credit Card,Pick Up,6
1140,4681,895,Debit Card,Mail,6.5
1141,119,896,Credit Card,Mail,6.5
1142,119,896,Debit Card,Mail,6.5
1143,4776,897,Debit Card,Pick Up,6
1144,3823,898,Debit Card,Pick Up,6
1145,2901,899,Debit Card,Mail,6.5
1146,4898,900,Debit Card,Mail,6.5
1147,4251,901,Debit Card,Mail,6.5
1148,3736,902,Cash,Mail,6.5
1149,4556,903,Debit Card,Mail,6.5
1150,4556,903,Credit Card,Pick Up,6
1151,4825,904,Cash,Pick Up,6
1152,4825,904,Credit Card,Mail,6.5
1153,4834,905,Credit Card,Mail,6.5
1154,2537,906,Credit Card,Pick Up,6
1155,1638,907,Debit Card,Mail,6.5
1156,1638,907,Cash,Pick Up,6
1157,3219,908,Credit Card,Pick Up,6
1158,3345,909,Cash,Pick Up,6
1159,2932,910,Credit Card,Pick Up,6
1160,3774,911,Credit Card,Pick Up,6
1161,501,912,Credit Card,Mail,6.5
1162,3655,913,Cash,Pick Up,6
1163,4573,914,Credit Card,Pick Up,6
1164,4573,914,Cash,Mail,6.5
1165,2958,915,Cash,Mail,6.5
1166,2958,915,Debit Card,Pick Up,6
1167,4595,916,Cash,Mail,6.5
1168,3060,917,Debit Card,Mail,6.5
1169,1178,918,Cash,Pick Up,6
1170,1178,918,Cash,Pick Up,6
1171,3311,919,Credit Card,Mail,6.5
1172,3080,920,Credit Card,Mail,6.5
1173,3040,921,Credit Card,Pick Up,6
1174,1073,922,Credit Card,Mail,6.5
1175,863,923,Debit Card,Mail,6.5
1176,3325,924,Cash,Pick Up,6
1177,802,925,Cash,Mail,6.5
1178,802,925,Credit Card,Pick Up,6
1179,1953,926,Credit Card,Pick Up,6
1180,1953,926,Debit Card,Pick Up,6
1181,940,927,Debit Card,Mail,6.5
1182,194,928,Debit Card,Pick Up,6
1183,1685,929,Credit Card,Pick Up,6
1184,1685,929,Debit Card,Mail,6.5
1185,1610,930,Credit Card,Mail,6.5
1186,714,931,Credit Card,Mail,6.5
1187,1050,932,Credit Card,Mail,6.5
1188,70,933,Cash,Pick Up,6
1189,1330,934,Credit Card,Pick Up,6
1190,4823,935,Debit Card,Mail,6.5
1191,490,936,Debit Card,Mail,6.5
1192,490,936,Cash,Pick Up,6
1193,1341,937,Debit Card,Pick Up,6
1194,1341,937,Credit Card,Mail,6.5
1195,2149,938,Credit Card,Mail,6.5
1196,1141,939,Debit Card,Pick Up,6
1197,1545,940,Cash,Mail,6.5
1198,1545,940,Cash,Pick Up,6
1199,985,941,Cash,Mail,6.5
1200,2074,942,Credit Card,Mail,6.5
1201,2043,943,Cash,Pick Up,6
1202,52,944,Debit Card,Pick Up,6
1203,1618,945,Debit Card,Pick Up,6
1204,217,946,Credit Card,Pick Up,6
1205,824,947,Credit Card,Pick Up,6
1206,824,947,Credit Card,Pick Up,6
1207,200,948,Debit Card,Pick Up,6
1208,200,948,Debit Card,Mail,6.5
1209,2269,949,Debit Card,Mail,6.5
1210,1830,950,Credit Card,Mail,6.5
1211,1511,951,Debit Card,Pick Up,6
1212,1511,951,Cash,Pick Up,6
1213,2348,952,Credit Card,Mail,6.5
1214,4743,953,Debit Card,Pick Up,6
1215,1979,954,Cash,Pick Up,6
1216,4829,955,Cash,Pick Up,6
1217,642,956,Debit Card,Mail,6.5
1218,2488,957,Cash,Mail,6.5
1219,3355,958,Cash,Pick Up,6
1220,3355,958,Debit Card,Mail,6.5
1221,4607,959,Debit Card,Pick Up,6
1222,4607,959,Debit Card,Pick Up,6
1223,4188,960,Cash,Pick Up,6
1224,4444,961,Credit Card,Pick Up,6
1225,3538,962,Debit Card,Pick Up,6
1226,3538,962,Cash,Mail,6.5
1227,4840,963,Credit Card,Pick Up,6
1228,3532,964,Credit Card,Mail,6.5
1229,4034,965,Cash,Mail,6.5
1230,4780,966,Debit Card,Pick Up,6
1231,3232,967,Debit Card,Pick Up,6
1232,2775,968,Debit Card,Mail,6.5
1233,4536,969,Cash,Mail,6.5
1234,4536,969,Cash,Mail,6.5
1235,4888,970,Credit Card,Pick Up,6
1236,4888,970,Cash,Pick Up,6
1237,2984,971,Credit Card,Pick Up,6
1238,3963,972,Cash,Mail,6.5
1239,4230,973,Cash,Pick Up,6
1240,4230,973,Cash,Pick Up,6
1241,4149,974,Cash,Mail,6.5
1242,4161,975,Credit Card,Pick Up,6
1243,3678,976,Credit Card,Mail,6.5
1244,3494,977,Cash,Pick Up,6
1245,3975,978,Debit Card,Mail,6.5
1246,4865,979,Debit Card,Pick Up,6
1247,3038,980,Cash,Pick Up,6
1248,3038,980,Credit Card,Pick Up,6
1249,3061,981,Cash,Pick Up,6
1250,3061,981,Cash,Mail,6.5
1251,3627,982,Debit Card,Pick Up,6
1252,3678,983,Credit Card,Mail,6.5
1253,4840,984,Credit Card,Mail,6.5
1254,4840,984,Cash,Pick Up,6
1255,2844,985,Credit Card,Mail,6.5
1256,2272,986,Cash,Mail,6.5
1257,3763,987,Credit Card,Pick Up,6
1258,3572,988,Debit Card,Pick Up,6
1259,1408,989,Credit Card,Pick Up,6
1260,4333,990,Credit Card,Mail,6.5
1261,685,991,Cash,Pick Up,6
1262,685,991,Credit Card,Mail,6.5
1263,222,992,Debit Card,Pick Up,6
1264,222,992,Cash,Pick Up,6
1265,1648,993,Debit Card,Mail,6.5
1266,786,994,Cash,Mail,6.5
1267,1554,995,Cash,Mail,6.5
1268,1554,995,Credit Card,Pick Up,6
1269,2091,996,Cash,Mail,6.5
1270,2535,997,Credit Card,Mail,6.5
1271,556,998,Credit Card,Pick Up,6
1272,583,999,Cash,Pick Up,6
1273,232,1000,Credit Card,Pick Up,6
1274,431,1001,Debit Card,Mail,6.5
1275,768,1002,Cash,Pick Up,6
1276,768,1002,Debit Card,Pick Up,6
1277,305,1003,Cash,Mail,6.5
1278,305,1003,Debit Card,Pick Up,6
1279,1675,1004,Cash,Mail,6.5
1280,516,1005,Debit Card,Pick Up,6
1281,969,1006,Cash,Pick Up,6
1282,969,1006,Cash,Mail,6.5
1283,906,1007,Credit Card,Mail,6.5
1284,1482,1008,Debit Card,Mail,6.5
1285,799,1009,Credit Card,Mail,6.5
1286,1294,1010,Credit Card,Mail,6.5
1287,1090,1011,Credit Card,Pick Up,6
1288,111,1012,Debit Card,Mail,6.5
1289,168,1013,Cash,Pick Up,6
1290,168,1013,Debit Card,Mail,6.5
1291,1939,1014,Cash,Pick Up,6
1292,1939,1014,Credit Card,Mail,6.5
1293,2296,1015,Cash,Mail,6.5
1294,1074,1016,Credit Card,Mail,6.5
1295,50,1017,Credit Card,Pick Up,6
1296,50,1017,Credit Card,Pick Up,6
1297,543,1018,Cash,Mail,6.5
1298,4646,1019,Credit Card,Pick Up,6
1299,566,1020,Debit Card,Pick Up,6
1300,611,1021,Credit Card,Pick Up,6
1301,2046,1022,Debit Card,Pick Up,6
1302,594,1023,Credit Card,Mail,6.5
1303,2433,1024,Debit Card,Pick Up,6
1304,2433,1024,Credit Card,Mail,6.5
1305,4057,1025,Cash,Mail,6.5
1306,4057,1025,Credit Card,Pick Up,6
1307,1989,1026,Credit Card,Pick Up,6
1308,2921,1027,Cash,Pick Up,6
1309,4286,1028,Cash,Pick Up,6
1310,4286,1028,Cash,Pick Up,6
1311,3123,1029,Credit Card,Mail,6.5
1312,3022,1030,Debit Card,Pick Up,6
1313,4270,1031,Credit Card,Mail,6.5
1314,4177,1032,Cash,Mail,6.5
1315,4267,1033,Credit Card,Pick Up,6
1316,4040,1034,Debit Card,Pick Up,6
1317,4940,1035,Cash,Mail,6.5
1318,4940,1035,Debit Card,Mail,6.5
1319,4001,1036,Credit Card,Pick Up,6
1320,4001,1036,Cash,Pick Up,6
1321,577,1037,Debit Card,Pick Up,6
1322,2740,1038,Cash,Pick Up,6
1323,3246,1039,Cash,Mail,6.5
1324,3246,1039,Cash,Mail,6.5
1325,3414,1040,Credit Card,Pick Up,6
1326,3456,1041,Debit Card,Pick Up,6
1327,3114,1042,Debit Card,Mail,6.5
1328,3185,1043,Debit Card,Pick Up,6
1329,4156,1044,Debit Card,Pick Up,6
1330,2663,1045,Credit Card,Pick Up,6
1331,811,1046,Debit Card,Pick Up,6
1332,811,1046,Cash,Pick Up,6
1333,2873,1047,Cash,Pick Up,6
1334,2873,1047,Debit Card,Pick Up,6
1335,1588,1048,Credit Card,Pick Up,6
1336,4151,1049,Credit Card,Mail,6.5
1337,4892,1050,Cash,Pick Up,6
1338,4892,1050,Credit Card,Pick Up,6
1339,3625,1051,Credit Card,Pick Up,6
1340,3163,1052,Cash,Mail,6.5
1341,4377,1053,Debit Card,Pick Up,6
1342,3236,1054,Credit Card,Pick Up,6
1343,4625,1055,Debit Card,Mail,6.5
1344,4068,1056,Debit Card,Pick Up,6
1345,2576,1057,Cash,Pick Up,6
1346,2576,1057,Cash,Mail,6.5
1347,344,1058,Debit Card,Pick Up,6
1348,344,1058,Credit Card,Pick Up,6
1349,2052,1059,Debit Card,Pick Up,6
1350,172,1060,Cash,Mail,6.5
1351,1260,1061,Credit Card,Pick Up,6
1352,1260,1061,Cash,Pick Up,6
1353,14,1062,Cash,Pick Up,6
1354,260,1063,Cash,Pick Up,6
1355,1996,1064,Credit Card,Pick Up,6
1356,1206,1065,Credit Card,Pick Up,6
1357,1520,1066,Cash,Pick Up,6
1358,2541,1067,Debit Card,Mail,6.5
1359,2446,1068,Cash,Pick Up,6
1360,2446,1068,Credit Card,Mail,6.5
1361,1418,1069,Cash,Mail,6.5
1362,1418,1069,Credit Card,Pick Up,6
1363,110,1070,Credit Card,Mail,6.5
1364,892,1071,Debit Card,Pick Up,6
1365,193,1072,Cash,Mail,6.5
1366,193,1072,Credit Card,Mail,6.5
1367,204,1073,Credit Card,Pick Up,6
1368,1301,1074,Credit Card,Pick Up,6
1369,1858,1075,Cash,Mail,6.5
1370,2190,1076,Cash,Pick Up,6
1371,900,1077,Credit Card,Pick Up,6
1372,12,1078,Credit Card,Mail,6.5
1373,822,1079,Cash,Pick Up,6
1374,822,1079,Credit Card,Pick Up,6
1375,1386,1080,Cash,Pick Up,6
1376,1386,1080,Cash,Pick Up,6
1377,290,1081,Cash,Mail,6.5
1378,247,1082,Credit Card,Mail,6.5
1379,2370,1083,Debit Card,Pick Up,6
1380,2370,1083,Debit Card,Pick Up,6
1381,2903,1084,Debit Card,Pick Up,6
1382,2327,1085,Cash,Pick Up,6
1383,1502,1086,Cash,Mail,6.5
1384,2041,1087,Credit Card,Pick Up,6
1385,3239,1088,Debit Card,Pick Up,6
1386,427,1089,Credit Card,Pick Up,6
1387,2893,1090,Debit Card,Mail,6.5
1388,2893,1090,Debit Card,Pick Up,6
1389,4787,1091,Cash,Pick Up,6
1390,4787,1091,Debit Card,Pick Up,6
1391,4646,1092,Cash,Mail,6.5
1392,3928,1093,Debit Card,Pick Up,6
1393,3719,1094,Credit Card,Mail,6.5
1394,3719,1094,Debit Card,Pick Up,6
1395,4798,1095,Cash,Mail,6.5
1396,4552,1096,Cash,Mail,6.5
1397,3905,1097,Credit Card,Mail,6.5
1398,3140,1098,Credit Card,Mail,6.5
1399,4617,1099,Cash,Pick Up,6
1400,4785,1100,Credit Card,Pick Up,6
1401,4005,1101,Credit Card,Pick Up,6
1402,4005,1101,Credit Card,Mail,6.5
1403,3160,1102,Cash,Mail,6.5
1404,3160,1102,Debit Card,Mail,6.5
1405,2663,1103,Debit Card,Pick Up,6
1406,4867,1104,Cash,Pick Up,6
1407,2944,1105,Debit Card,Mail,6.5
1408,2944,1105,Cash,Mail,6.5
1409,4971,1106,Cash,Pick Up,6
1410,4275,1107,Debit Card,Mail,6.5
1411,4292,1108,Cash,Mail,6.5
1412,3618,1109,Cash,Pick Up,6
1413,4786,1110,Debit Card,Pick Up,6
1414,3564,1111,Cash,Mail,6.5
1415,4423,1112,Debit Card,Mail,6.5
1416,4423,1112,Debit Card,Pick Up,6
1417,3408,1113,Debit Card,Mail,6.5
1418,3408,1113,Cash,Pick Up,6
1419,148,1114,Credit Card,Pick Up,6
1420,2797,1115,Debit Card,Pick Up,6
1421,3988,1116,Credit Card,Mail,6.5
1422,3988,1116,Cash,Mail,6.5
1423,4716,1117,Credit Card,Pick Up,6
1424,2831,1118,Cash,Mail,6.5
1425,4470,1119,Credit Card,Pick Up,6
1426,2874,1120,Credit Card,Pick Up,6
1427,2438,1121,Credit Card,Pick Up,6
1428,1017,1122,Cash,Pick Up,6
1429,1310,1123,Cash,Mail,6.5
1430,1310,1123,Credit Card,Pick Up,6
1431,451,1124,Credit Card,Mail,6.5
1432,451,1124,Cash,Pick Up,6
1433,823,1125,Debit Card,Mail,6.5
1434,1424,1126,Cash,Pick Up,6
1435,734,1127,Debit Card,Pick Up,6
1436,734,1127,Debit Card,Mail,6.5
1437,38,1128,Cash,Pick Up,6
1438,2458,1129,Credit Card,Pick Up,6
1439,4501,1130,Debit Card,Pick Up,6
1440,2221,1131,Credit Card,Mail,6.5
1441,1355,1132,Debit Card,Mail,6.5
1442,845,1133,Credit Card,Mail,6.5
1443,2516,1134,Credit Card,Mail,6.5
1444,2516,1134,Credit Card,Pick Up,6
1445,669,1135,Debit Card,Pick Up,6
1446,669,1135,Debit Card,Mail,6.5
1447,658,1136,Cash,Pick Up,6
1448,1602,1137,Credit Card,Pick Up,6
1449,981,1138,Cash,Pick Up,6
1450,981,1138,Debit Card,Mail,6.5
1451,1463,1139,Cash,Mail,6.5
1452,2023,1140,Credit Card,Pick Up,6
1453,273,1141,Debit Card,Pick Up,6
1454,1574,1142,Debit Card,Mail,6.5
1455,1834,1143,Cash,Mail,6.5
1456,3605,1144,Cash,Pick Up,6
1457,1350,1145,Cash,Mail,6.5
1458,1350,1145,Credit Card,Mail,6.5
1459,984,1146,Credit Card,Mail,6.5
1460,984,1146,Debit Card,Pick Up,6
1461,1188,1147,Cash,Mail,6.5
1462,1596,1148,Credit Card,Pick Up,6
1463,33,1149,Debit Card,Pick Up,6
1464,33,1149,Credit Card,Pick Up,6
1465,564,1150,Credit Card,Mail,6.5
1466,1674,1151,Debit Card,Mail,6.5
1467,1190,1152,Debit Card,Pick Up,6
1468,684,1153,Debit Card,Pick Up,6
1469,185,1154,Cash,Mail,6.5
1470,2311,1155,Cash,Pick Up,6
1471,4576,1156,Credit Card,Pick Up,6
1472,4576,1156,Cash,Pick Up,6
1473,3104,1157,Credit Card,Pick Up,6
1474,3104,1157,Debit Card,Mail,6.5
1475,3443,1158,Cash,Mail,6.5
1476,4964,1159,Credit Card,Pick Up,6
1477,3967,1160,Credit Card,Pick Up,6
1478,3967,1160,Credit Card,Pick Up,6
1479,34,1161,Cash,Pick Up,6
1480,3091,1162,Credit Card,Mail,6.5
1481,4120,1163,Cash,Mail,6.5
1482,3256,1164,Credit Card,Pick Up,6
1483,4301,1165,Debit Card,Pick Up,6
1484,3280,1166,Debit Card,Pick Up,6
1485,3429,1167,Cash,Pick Up,6
1486,3429,1167,Credit Card,Mail,6.5
1487,452,1168,Credit Card,Pick Up,6
1488,452,1168,Debit Card,Mail,6.5
1489,3905,1169,Debit Card,Pick Up,6
1490,4684,1170,Credit Card,Mail,6.5
1491,147,1171,Credit Card,Mail,6.5
1492,147,1171,Credit Card,Pick Up,6
